#   1 X                Object position along x                                    [pixel]
#   2 Y                Object position along y                                    [pixel]
#   3 MAG              Object magnitude                                           [AB]
#   4 TYPE             Object type                                                [0=star, others=FITS]
#   5 ORIENTATION      Objects orientation                                        [deg]
1245.663559 4518.343348 20.519298 0 0.000000 
1227.584762 4434.109662 20.179598 0 0.000000 
1228.185963 4431.772811 19.905864 0 0.000000 
1263.397672 4560.538020 17.722023 0 0.000000 
1135.608661 4519.803776 20.569299 0 0.000000 
1178.951644 4633.994732 16.813318 0 0.000000 
1174.532280 4634.283703 16.769970 0 0.000000 
1172.571577 4634.468328 16.265967 0 0.000000 
1219.026377 4336.987617 18.364131 0 0.000000 
1259.984265 4655.121108 19.485846 0 0.000000 
1335.205027 4613.124235 20.034902 0 0.000000 
1336.223843 4378.218311 19.074258 0 0.000000 
1340.406920 4376.195826 18.641820 0 0.000000 
1013.513204 4452.787358 17.828693 0 0.000000 
1170.776011 4697.409383 19.445847 0 0.000000 
1079.621900 4658.483080 20.199917 0 0.000000 
1389.330573 4619.235883 19.515847 0 0.000000 
995.981732 4379.713507 20.549298 0 0.000000 
992.708245 4349.438216 20.008730 0 0.000000 
1385.574220 4702.081237 19.515847 0 0.000000 
979.636353 4363.619972 20.096153 0 0.000000 
1491.260525 4422.315663 20.549298 0 0.000000 
1209.171127 4779.934072 20.019298 0 0.000000 
928.833908 4530.159231 19.758292 0 0.000000 
927.944863 4527.717699 20.309299 0 0.000000 
963.028533 4639.571017 17.641076 0 0.000000 
1508.238559 4510.961882 16.226452 0 0.000000 
1178.812194 4203.333833 19.946103 0 0.000000 
1502.347658 4423.863964 19.855872 0 0.000000 
960.021506 4642.013279 20.559299 0 0.000000 
1284.212304 4785.043555 20.219916 0 0.000000 
945.826665 4366.541468 20.054149 0 0.000000 
990.867615 4286.944263 16.204463 0 0.000000 
918.382329 4570.782533 19.475846 0 0.000000 
975.547213 4304.067220 19.993398 0 0.000000 
1398.886446 4742.990381 20.271149 0 0.000000 
1100.417871 4208.230163 19.485846 0 0.000000 
1301.528775 4197.094265 16.906636 0 0.000000 
1406.966237 4741.256759 20.247525 0 0.000000 
1300.508841 4193.497563 19.615847 0 0.000000 
1264.369722 4185.624176 19.515847 0 0.000000 
997.844554 4723.696301 20.086370 0 0.000000 
1058.358254 4783.922189 20.252701 0 0.000000 
1185.187425 4164.918176 17.322443 0 0.000000 
1288.344789 4157.420212 20.133302 0 0.000000 
1131.447759 4848.978198 20.340047 0 0.000000 
997.178267 4802.287748 19.949702 0 0.000000 
1169.833474 4874.653320 20.559299 0 0.000000 
1039.872512 4141.545139 16.772544 0 0.000000 
1445.827922 4817.559103 20.569299 0 0.000000 
1450.377128 4818.004819 16.161819 0 0.000000 
1094.232407 4111.942901 18.622115 0 0.000000 
1009.631447 4847.843385 19.495847 0 0.000000 
1320.909095 4898.895647 19.825846 0 0.000000 
1344.454186 4098.148365 19.396552 0 0.000000 
1318.765937 4899.656882 19.662206 0 0.000000 
1295.213544 4084.054466 19.835847 0 0.000000 
1025.408220 4118.413518 19.953124 0 0.000000 
1147.040662 4919.243860 20.209298 0 0.000000 
1243.722070 4064.682783 20.190034 0 0.000000 
780.473039 4536.228794 19.535847 0 0.000000 
1438.542444 4118.199841 19.860993 0 0.000000 
779.976910 4540.561199 19.968723 0 0.000000 
779.479368 4537.988207 20.017462 0 0.000000 
1326.486429 4069.057359 19.395846 0 0.000000 
1438.489283 4113.683254 19.966163 0 0.000000 
809.550199 4672.135719 20.234151 0 0.000000 
770.506646 4514.751904 20.459298 0 0.000000 
871.605690 4203.518221 15.067950 0 0.000000 
760.674611 4515.068828 20.509297 0 0.000000 
811.047771 4709.711071 20.232036 0 0.000000 
753.748499 4402.974276 19.898089 0 0.000000 
871.600164 4824.210481 20.519298 0 0.000000 
916.187885 4868.447505 19.535847 0 0.000000 
1691.006425 4426.369691 19.415847 0 0.000000 
735.782609 4516.492265 20.559299 0 0.000000 
1189.428536 4010.256866 16.455798 0 0.000000 
1481.577572 4901.870698 18.766308 0 0.000000 
1480.139462 4903.315259 18.963384 0 0.000000 
1477.191381 4912.881999 15.192764 0 0.000000 
717.818693 4517.704383 19.499297 0 0.000000 
713.296826 4523.192857 19.819299 0 0.000000 
709.817836 4519.438925 19.233369 0 0.000000 
884.082701 4881.005535 19.886198 0 0.000000 
890.254623 4886.308404 19.474831 0 0.000000 
1360.504270 4985.228178 20.001494 0 0.000000 
705.137178 4517.549395 19.029298 0 0.000000 
1036.008386 4016.032109 20.076676 0 0.000000 
1025.287249 4018.528559 17.649852 0 0.000000 
1639.898279 4203.914678 16.264137 0 0.000000 
