#   1 X                Object position along x                                    [pixel]
#   2 Y                Object position along y                                    [pixel]
#   3 MAG              Object magnitude                                           [AB]
#   4 TYPE             Object type                                                [0=star, others=FITS]
#   5 ORIENTATION      Objects orientation                                        [deg]
2040.318381 2018.512707 20.738001 0 0.000000 
2029.019836 2015.519491 20.393999 0 0.000000 
2014.106348 2071.107306 22.573999 0 0.000000 
2106.832721 2052.360539 21.573000 0 0.000000 
2095.227564 1991.573486 22.186001 0 0.000000 
2126.399665 2028.047344 16.412001 0 0.000000 
2006.599900 2130.371077 18.952999 0 0.000000 
2116.714503 2109.996692 21.125000 0 0.000000 
2129.630693 2110.890446 21.752001 0 0.000000 
1960.169239 2108.475281 20.257000 0 0.000000 
1983.041513 2136.201555 18.476000 0 0.000000 
1969.561002 1967.838590 22.618999 0 0.000000 
2159.501759 2034.772516 21.299000 0 0.000000 
1937.701531 2014.685289 19.832001 0 0.000000 
1929.200575 2075.446453 19.639000 0 0.000000 
1913.562006 2070.144439 22.604000 0 0.000000 
2157.099810 1951.719345 19.871000 0 0.000000 
1907.936047 1990.243245 21.664000 0 0.000000 
1971.692610 1914.220330 21.063999 0 0.000000 
2036.183285 1894.130331 21.025000 0 0.000000 
1896.686388 2085.166275 23.099001 0 0.000000 
2019.302308 1894.419515 22.290001 0 0.000000 
1970.232738 2184.122676 22.136999 0 0.000000 
2053.477709 1889.272612 18.593000 0 0.000000 
1967.764809 1908.496481 15.438000 0 0.000000 
1882.768128 2068.704993 22.181000 0 0.000000 
2151.557375 1915.456947 19.962999 0 0.000000 
1907.826269 1945.395218 19.893999 0 0.000000 
1872.983005 2053.162176 21.049999 0 0.000000 
1867.852525 2063.351072 22.235001 0 0.000000 
1879.377644 1982.475496 20.924999 0 0.000000 
2216.140672 1978.746828 19.084000 0 0.000000 
2131.550801 2212.770236 21.125000 0 0.000000 
1894.285423 1930.666720 19.667999 0 0.000000 
1916.781546 2190.535261 16.608000 0 0.000000 
2207.432374 1935.551557 21.424999 0 0.000000 
1967.899248 1867.455783 20.749001 0 0.000000 
1848.349739 2029.561286 23.188000 0 0.000000 
2246.881902 2081.078612 22.412001 0 0.000000 
1859.184441 2125.740853 21.143999 0 0.000000 
2242.810924 2113.847322 20.601000 0 0.000000 
2250.272397 2008.897065 21.906000 0 0.000000 
1984.598518 2245.485735 23.297001 0 0.000000 
2231.888447 1951.966876 21.069000 0 0.000000 
2026.329126 1841.168846 21.992001 0 0.000000 
1941.647049 1869.007487 21.552999 0 0.000000 
1881.546691 2177.700648 21.572001 0 0.000000 
2136.577014 1854.905363 21.757000 0 0.000000 
2004.917832 2257.668170 22.245001 0 0.000000 
2233.027763 1938.759500 18.561001 0 0.000000 
1834.361874 2017.223156 20.719999 0 0.000000 
1832.168078 2066.062842 21.179001 0 0.000000 
2220.858893 2179.907403 21.104000 0 0.000000 
1912.411649 2219.734351 21.427000 0 0.000000 
1828.893551 2055.980639 21.844000 0 0.000000 
1869.031939 1920.561829 21.924000 0 0.000000 
2041.870043 2267.881459 18.115999 0 0.000000 
1829.676711 2015.359899 21.520000 0 0.000000 
1888.077811 1889.942121 22.596001 0 0.000000 
2250.864174 2144.990519 20.066000 0 0.000000 
2202.014495 2212.988872 21.002001 0 0.000000 
1995.034795 2270.981279 21.502001 0 0.000000 
2231.104495 1907.302488 20.680000 0 0.000000 
2096.062666 1821.607847 20.098000 0 0.000000 
2100.723911 2274.132182 17.662001 0 0.000000 
2072.484964 2279.461366 21.535999 0 0.000000 
2273.086884 2112.330888 20.124001 0 0.000000 
1934.525667 2252.921184 20.377001 0 0.000000 
2132.062712 2267.202362 21.622000 0 0.000000 
2165.690499 1844.641698 21.607000 0 0.000000 
1813.603299 2070.373374 20.934000 0 0.000000 
1857.144248 1908.170473 21.750000 0 0.000000 
1881.829856 2222.601160 21.080000 0 0.000000 
1840.990439 1924.532269 20.392000 0 0.000000 
2247.308697 2183.903606 21.794001 0 0.000000 
2157.630296 1829.175012 15.942000 0 0.000000 
1807.754478 2097.971572 21.878000 0 0.000000 
1922.659454 1833.089288 22.664000 0 0.000000 
2297.524101 2046.115064 19.518999 0 0.000000 
1991.805256 1804.462042 21.926001 0 0.000000 
2295.654882 2082.218841 19.488001 0 0.000000 
2253.815895 2193.909116 18.392000 0 0.000000 
1822.251277 1931.442177 21.716999 0 0.000000 
1799.630108 2115.172358 22.525000 0 0.000000 
1811.384175 2152.035163 18.948000 0 0.000000 
2293.307334 1966.290777 20.688999 0 0.000000 
2059.398410 2308.423302 20.191999 0 0.000000 
1947.443714 2288.577641 21.223000 0 0.000000 
1791.461912 2095.533756 21.909000 0 0.000000 
1891.686874 1838.030185 23.113001 0 0.000000 
2279.375631 2173.013759 18.811001 0 0.000000 
2048.034425 1783.165481 21.677999 0 0.000000 
2240.239204 2230.299435 21.725000 0 0.000000 
1797.936895 1959.149905 19.955000 0 0.000000 
1792.980004 1973.409084 21.584000 0 0.000000 
2270.413871 2204.021948 20.747999 0 0.000000 
2016.869806 2318.322862 21.760000 0 0.000000 
1789.222430 1963.117078 21.002001 0 0.000000 
2244.688165 1856.837945 21.995001 0 0.000000 
2303.613566 1942.792832 22.028999 0 0.000000 
2129.864982 1781.147069 21.423000 0 0.000000 
2239.488283 1844.495821 21.388000 0 0.000000 
1811.185210 1899.594280 21.773001 0 0.000000 
2319.002376 1978.901232 21.268999 0 0.000000 
1797.647189 2172.834639 21.431999 0 0.000000 
1768.653533 2072.722126 21.323999 0 0.000000 
2159.952744 2307.405611 20.524000 0 0.000000 
2330.531420 2017.083105 19.927000 0 0.000000 
2331.475932 2085.957166 21.962000 0 0.000000 
1787.317617 1925.122780 20.848000 0 0.000000 
2118.627083 2334.604659 20.066999 0 0.000000 
2262.861064 2251.441553 21.627001 0 0.000000 
2250.791286 1832.445844 21.599001 0 0.000000 
2342.382571 2012.097653 17.134001 0 0.000000 
1772.811423 2159.765018 21.617001 0 0.000000 
1945.736194 1767.495016 18.684999 0 0.000000 
2177.413244 1778.106319 21.235001 0 0.000000 
1821.531417 2243.987009 17.881001 0 0.000000 
1987.807254 2341.956100 21.540001 0 0.000000 
1748.398449 2067.502859 21.702999 0 0.000000 
2059.404952 1747.980308 14.954000 0 0.000000 
1982.986347 2342.218986 21.572001 0 0.000000 
2324.631791 1928.094278 20.874001 0 0.000000 
2122.734778 1755.335237 15.818000 0 0.000000 
1747.892063 2100.981505 21.357000 0 0.000000 
2347.939901 1974.997299 20.955999 0 0.000000 
2356.386206 2063.488174 21.622999 0 0.000000 
2014.473895 1740.549904 22.076000 0 0.000000 
