#   1 X                Object position along x                                    [pixel]
#   2 Y                Object position along y                                    [pixel]
#   3 MAG              Object magnitude                                           [AB]
#   4 TYPE             Object type                                                [0=star, others=FITS]
#   5 ORIENTATION      Objects orientation                                        [deg]
2126.135088 2028.417030 15.686316 0 0.000000 
1982.063532 2138.899855 17.381317 0 0.000000 
1928.689415 2075.401352 17.093317 0 0.000000 
1967.471353 1909.255875 15.488317 0 0.000000 
1916.618980 2190.509025 16.447317 0 0.000000 
2042.084932 2267.426676 16.294315 0 0.000000 
2100.303761 2274.394736 17.322315 0 0.000000 
2157.498044 1828.740171 15.955317 0 0.000000 
2295.886662 2080.983740 17.464317 0 0.000000 
2342.638779 2012.350854 16.942316 0 0.000000 
1821.583685 2243.660351 16.362316 0 0.000000 
2059.191325 1748.045425 14.925317 0 0.000000 
2122.129747 1755.099923 15.819316 0 0.000000 
2308.774274 1833.618078 14.037317 0 0.000000 
2254.296308 1771.576112 16.051315 0 0.000000 
2146.222453 1716.251236 15.752316 0 0.000000 
2311.127034 2277.472597 16.984316 0 0.000000 
1775.116631 2274.497660 14.531316 0 0.000000 
1693.354736 2057.753452 17.898315 0 0.000000 
2180.153237 1716.018913 15.979317 0 0.000000 
1687.732863 1966.980741 16.020315 0 0.000000 
1971.123641 1670.904472 16.190317 0 0.000000 
1663.987325 2006.700794 16.453318 0 0.000000 
2247.696567 2382.279118 17.401318 0 0.000000 
1669.892999 2163.491278 14.515316 0 0.000000 
1876.456591 1677.079686 16.959316 0 0.000000 
2257.394273 2402.585665 17.238316 0 0.000000 
2354.227935 2333.521088 14.748316 0 0.000000 
2020.809402 1629.413695 15.614317 0 0.000000 
2375.272407 2324.566711 17.880318 0 0.000000 
2152.599527 2477.859977 17.620317 0 0.000000 
1679.440514 2295.769442 14.922318 0 0.000000 
1619.219544 2194.072968 15.387316 0 0.000000 
2320.362577 2412.914172 17.680317 0 0.000000 
1715.888302 1736.040035 17.508318 0 0.000000 
2352.646199 1707.653928 17.357315 0 0.000000 
1646.513882 1814.297044 15.905317 0 0.000000 
2267.865638 2471.715961 16.009315 0 0.000000 
2528.140250 2060.548380 15.760316 0 0.000000 
2335.897457 1631.459653 17.048317 0 0.000000 
1630.579416 1755.621019 17.353317 0 0.000000 
1628.832865 2348.829276 16.943317 0 0.000000 
1535.207235 2147.464144 16.704315 0 0.000000 
1530.683745 2128.211270 15.748315 0 0.000000 
1713.177664 1644.708442 17.115316 0 0.000000 
1836.358098 2530.652074 17.692316 0 0.000000 
2042.022512 1521.037493 16.918316 0 0.000000 
1996.915825 2574.491226 16.951317 0 0.000000 
1517.764929 2054.571792 15.444316 0 0.000000 
1520.479940 2152.831702 17.184317 0 0.000000 
1707.919909 1627.232109 17.307316 0 0.000000 
1715.927222 2482.618392 17.056316 0 0.000000 
2571.203770 1887.830867 17.328318 0 0.000000 
1955.940648 1505.482564 16.276318 0 0.000000 
1595.939177 2363.665886 16.973316 0 0.000000 
1558.791662 2314.935946 19.108316 0 0.000000 
1771.127354 1554.813521 16.876316 0 0.000000 
1685.437864 2488.196928 17.627317 0 0.000000 
2618.924714 2078.028108 16.207317 0 0.000000 
1509.217866 2250.995262 16.937317 0 0.000000 
1511.195501 2270.117097 16.636316 0 0.000000 
2627.217968 1977.465127 11.335317 0 0.000000 
2194.052215 2616.858642 17.618317 0 0.000000 
1490.652164 1856.315346 14.465317 0 0.000000 
1523.940954 1747.542976 15.069317 0 0.000000 
2540.996606 1697.257064 17.102316 0 0.000000 
2578.994838 2339.695658 17.055317 0 0.000000 
2369.062246 1530.051337 16.544317 0 0.000000 
2634.200843 2216.945406 16.884315 0 0.000000 
2335.456736 2594.515416 16.063316 0 0.000000 
2368.379724 2576.423649 12.813316 0 0.000000 
2331.958445 1496.955214 11.365316 0 0.000000 
2517.112474 2455.895036 14.232316 0 0.000000 
2328.143311 1474.815751 16.605316 0 0.000000 
2647.269191 1825.240574 16.717318 0 0.000000 
2616.771141 1744.476904 14.388317 0 0.000000 
1493.624618 1717.698427 16.871317 0 0.000000 
2657.499887 1835.049408 16.108316 0 0.000000 
2334.016347 2632.089714 15.753316 0 0.000000 
1398.768769 1988.578319 16.535316 0 0.000000 
2640.042461 1770.277838 16.899317 0 0.000000 
2672.197884 1841.061183 17.408318 0 0.000000 
2388.254947 2612.379234 16.694315 0 0.000000 
1410.129902 1877.151185 17.084316 0 0.000000 
2645.126062 1746.516694 15.526318 0 0.000000 
1575.852248 2524.722042 15.336317 0 0.000000 
2717.533410 2096.939530 17.110317 0 0.000000 
2645.174292 2357.259340 16.512316 0 0.000000 
1959.494274 1379.562017 17.831318 0 0.000000 
2629.440199 2396.894706 17.421318 0 0.000000 
2314.233351 2676.256862 16.942316 0 0.000000 
2063.050790 1365.492423 14.851316 0 0.000000 
1916.302606 1376.107160 16.825317 0 0.000000 
1469.213486 1663.784574 16.656317 0 0.000000 
2388.611337 2656.533208 16.612316 0 0.000000 
