#   1 X                Object position along x                                    [pixel]
#   2 Y                Object position along y                                    [pixel]
#   3 MAG              Object magnitude                                           [AB]
#   4 TYPE             Object type                                                [0=star, others=FITS]
#   5 ORIENTATION      Objects orientation                                        [deg]
2126.135088 2028.417030 15.832845 0 0.000000 
1982.063532 2138.899855 17.378845 0 0.000000 
1928.689415 2075.401352 17.260845 0 0.000000 
1967.471353 1909.255875 15.275845 0 0.000000 
1916.618980 2190.509025 16.288845 0 0.000000 
2042.084932 2267.426676 16.504845 0 0.000000 
2100.303761 2274.394736 17.290844 0 0.000000 
2157.498044 1828.740171 15.710845 0 0.000000 
2295.886662 2080.983740 17.560844 0 0.000000 
2342.638779 2012.350854 16.892845 0 0.000000 
1821.583685 2243.660351 16.539845 0 0.000000 
2059.191325 1748.045425 14.826843 0 0.000000 
2122.129747 1755.099923 15.669844 0 0.000000 
2308.774274 1833.618078 14.092845 0 0.000000 
2254.296308 1771.576112 15.985844 0 0.000000 
2146.222453 1716.251236 15.945845 0 0.000000 
2311.127034 2277.472597 17.068846 0 0.000000 
1775.116631 2274.497660 14.774845 0 0.000000 
1693.354736 2057.753452 17.500845 0 0.000000 
2180.153237 1716.018913 15.960845 0 0.000000 
1687.732863 1966.980741 16.028845 0 0.000000 
1971.123641 1670.904472 16.288845 0 0.000000 
1663.987325 2006.700794 16.421844 0 0.000000 
2247.696567 2382.279118 17.566845 0 0.000000 
1669.892999 2163.491278 14.319844 0 0.000000 
1876.456591 1677.079686 17.138845 0 0.000000 
2257.394273 2402.585665 17.322845 0 0.000000 
2354.227935 2333.521088 14.677845 0 0.000000 
2020.809402 1629.413695 15.650845 0 0.000000 
2375.272407 2324.566711 17.946844 0 0.000000 
2152.599527 2477.859977 17.335844 0 0.000000 
1679.440514 2295.769442 15.050844 0 0.000000 
1619.219544 2194.072968 15.509845 0 0.000000 
2320.362577 2412.914172 17.731844 0 0.000000 
1715.888302 1736.040035 17.638845 0 0.000000 
2352.646199 1707.653928 17.257845 0 0.000000 
1646.513882 1814.297044 15.998844 0 0.000000 
2267.865638 2471.715961 16.042845 0 0.000000 
2528.140250 2060.548380 15.894844 0 0.000000 
2335.897457 1631.459653 17.166845 0 0.000000 
1630.579416 1755.621019 17.551846 0 0.000000 
1628.832865 2348.829276 17.125845 0 0.000000 
1535.207235 2147.464144 16.846846 0 0.000000 
1530.683745 2128.211270 15.636845 0 0.000000 
1713.177664 1644.708442 17.347845 0 0.000000 
1836.358098 2530.652074 17.597845 0 0.000000 
2042.022512 1521.037493 16.925844 0 0.000000 
1996.915825 2574.491226 16.982845 0 0.000000 
1517.764929 2054.571792 15.327845 0 0.000000 
1520.479940 2152.831702 17.361845 0 0.000000 
1707.919909 1627.232109 17.408844 0 0.000000 
1715.927222 2482.618392 17.023844 0 0.000000 
2571.203770 1887.830867 16.813845 0 0.000000 
1955.940648 1505.482564 16.201843 0 0.000000 
1595.939177 2363.665886 16.789845 0 0.000000 
1558.791662 2314.935946 17.697845 0 0.000000 
1771.127354 1554.813521 17.191845 0 0.000000 
1685.437864 2488.196928 17.203844 0 0.000000 
2618.924714 2078.028108 16.318844 0 0.000000 
1509.217866 2250.995262 16.896845 0 0.000000 
1511.195501 2270.117097 16.510845 0 0.000000 
2627.217968 1977.465127 11.189844 0 0.000000 
2194.052215 2616.858642 17.721844 0 0.000000 
1490.652164 1856.315346 14.199844 0 0.000000 
1523.940954 1747.542976 15.269844 0 0.000000 
2540.996606 1697.257064 17.237844 0 0.000000 
2578.994838 2339.695658 16.962845 0 0.000000 
2369.062246 1530.051337 16.396845 0 0.000000 
2634.200843 2216.945406 17.057846 0 0.000000 
2335.456736 2594.515416 15.881845 0 0.000000 
2368.379724 2576.423649 13.070845 0 0.000000 
2331.958445 1496.955214 11.175844 0 0.000000 
